"   ncalls","  tottime","  percall","  cumtime","  percall"," filename:lineno(function)"
"      4/1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:37(_compile)"
"        2","    0.000","    0.000","    0.000","    0.000"," _compiler.py:398(_simple)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:407(_generate_overlap_table)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:428(_get_iscased)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:436(_get_literal_prefix)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:511(_compile_info)"
"        2","    0.000","    0.000","    0.000","    0.000"," _compiler.py:570(isstring)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:573(_code)"
"        1","    0.000","    0.000","    0.000","    0.000"," _compiler.py:740(compile)"
"        1","    0.000","    0.000","    0.000","    0.000"," _differentiable_functions.py:409(__init__)"
"        1","    0.000","    0.000","    0.000","    0.000"," _differentiable_functions.py:422(__init__)"
"        1","    0.000","    0.000","    0.000","    0.000"," _differentiable_functions.py:467(__init__)"
"        1","    0.000","    0.000","    0.000","    0.000"," _differentiable_functions.py:480(__call__)"
"        1","    0.000","    0.000","    0.000","    0.000"," _differentiable_functions.py:505(_callable_hess)"
"        1","    0.000","    0.000","    0.000","    0.000"," _dtype.py:23(_kind_name)"
"        1","    0.000","    0.000","    0.000","    0.000"," _dtype.py:326(_name_includes_bit_suffix)"
"        1","    0.000","    0.000","    0.000","    0.000"," _dtype.py:342(_name_get)"
"       24","    0.000","    0.000","    0.000","    0.000"," _filter_design.py:2774(<genexpr>)"
"       12","    0.000","    0.000","    0.000","    0.000"," _filter_design.py:2880(_relative_degree)"
"        6","    0.000","    0.000","    0.000","    0.000"," _filter_design.py:2892(bilinear_zpk)"
"        6","    0.000","    0.000","    0.000","    0.000"," _filter_design.py:2979(lp2lp_zpk)"
"        6","    0.000","    0.000","    0.000","    0.000"," _filter_design.py:4579(buttap)"
"    93/87","    0.000","    0.000","    0.000","    0.000"," _funcs.py:178(atleast_nd)"
"       97","    0.000","    0.000","    0.000","    0.000"," _function_base_impl.py:912(_copy_dispatcher)"
"       97","    0.000","    0.000","    0.000","    0.000"," _function_base_impl.py:916(copy)"
"      276","    0.000","    0.000","    0.000","    0.000"," _helpers.py:660(_check_device)"
"       42","    0.000","    0.000","    0.000","    0.000"," _internal.py:32(wrapped_f)"
"      449","    0.000","    0.000","    0.000","    0.000"," _linalg.py:2618(_norm_dispatcher)"
"       12","    0.000","    0.000","    0.000","    0.000"," _methods.py:41(_amax)"
"       18","    0.000","    0.000","    0.000","    0.000"," _methods.py:57(_any)"
"        1","    0.000","    0.000","    0.000","    0.000"," _moderngl.py:196(__init__)"
"        3","    0.000","    0.000","    0.000","    0.000"," _moderngl.py:29(__init__)"
"        2","    0.000","    0.000","    0.000","    0.000"," _moderngl.py:368(make_attribute)"
"        3","    0.000","    0.000","    0.000","    0.000"," _moderngl.py:387(make_uniform)"
"        2","    0.000","    0.000","    0.000","    0.000"," _moderngl.py:6(__init__)"
"        2","    0.000","    0.000","    0.000","    0.000"," _moderngl.py:685(resolve_includes)"
"       12","    0.000","    0.000","    0.000","    0.000"," _numdiff.py:14(_adjust_scheme_to_bounds)"
"       12","    0.000","    0.000","    0.000","    0.000"," _numdiff.py:147(_compute_absolute_step)"
"       12","    0.000","    0.000","    0.000","    0.000"," _numdiff.py:196(_prepare_bounds)"
"       36","    0.000","    0.000","    0.000","    0.000"," _numdiff.py:207(<genexpr>)"
"      108","    0.000","    0.000","    0.000","    0.000"," _numdiff.py:670(x_generator2)"
"       12","    0.000","    0.000","    0.000","    0.000"," _numdiff.py:865(__init__)"
"        1","    0.000","    0.000","    0.000","    0.000"," _numdiff.py:93(_eps_for_method)"
"        1","    0.000","    0.000","    0.000","    0.000"," _optimize.py:88(_wrap_callback)"
"        4","    0.000","    0.000","    0.000","    0.000"," _parser.py:113(__init__)"
"        8","    0.000","    0.000","    0.000","    0.000"," _parser.py:164(__len__)"
"       29","    0.000","    0.000","    0.000","    0.000"," _parser.py:168(__getitem__)"
"        2","    0.000","    0.000","    0.000","    0.000"," _parser.py:172(__setitem__)"
"       13","    0.000","    0.000","    0.000","    0.000"," _parser.py:176(append)"
"      5/2","    0.000","    0.000","    0.000","    0.000"," _parser.py:178(getwidth)"
"        1","    0.000","    0.000","    0.000","    0.000"," _parser.py:231(__init__)"
"       20","    0.000","    0.000","    0.000","    0.000"," _parser.py:240(__next)"
"       10","    0.000","    0.000","    0.000","    0.000"," _parser.py:256(match)"
"       17","    0.000","    0.000","    0.000","    0.000"," _parser.py:261(get)"
"        6","    0.000","    0.000","    0.000","    0.000"," _parser.py:293(tell)"
"        1","    0.000","    0.000","    0.000","    0.000"," _parser.py:372(_escape)"
"        1","    0.000","    0.000","    0.000","    0.000"," _parser.py:449(_uniq)"
"      2/1","    0.000","    0.000","    0.000","    0.000"," _parser.py:452(_parse_sub)"
"      2/1","    0.000","    0.000","    0.000","    0.000"," _parser.py:512(_parse)"
"        1","    0.000","    0.000","    0.000","    0.000"," _parser.py:77(__init__)"
"        4","    0.000","    0.000","    0.000","    0.000"," _parser.py:83(groups)"
"        1","    0.000","    0.000","    0.000","    0.000"," _parser.py:86(opengroup)"
"        1","    0.000","    0.000","    0.000","    0.000"," _parser.py:953(fix_flags)"
"        1","    0.000","    0.000","    0.000","    0.000"," _parser.py:969(parse)"
"        1","    0.000","    0.000","    0.000","    0.000"," _parser.py:98(closegroup)"
"       12","    0.000","    0.000","    0.000","    0.000"," _polyutils.py:12(_sort_cmplx)"
"       12","    0.000","    0.000","    0.000","    0.000"," _type_check_impl.py:127(_imag_dispatcher)"
"       12","    0.000","    0.000","    0.000","    0.000"," _type_check_impl.py:131(imag)"
"        1","    0.000","    0.000","    0.000","    0.000"," _type_check_impl.py:171(_is_type_dispatcher)"
"        1","    0.000","    0.000","    0.000","    0.000"," _type_check_impl.py:270(iscomplexobj)"
"       24","    0.000","    0.000","    0.000","    0.000"," _type_check_impl.py:80(_real_dispatcher)"
"       24","    0.000","    0.000","    0.000","    0.000"," _type_check_impl.py:84(real)"
"        7","    0.000","    0.000","    0.000","    0.000"," _ufunc_config.py:436(__init__)"
"        7","    0.000","    0.000","    0.000","    0.000"," _ufunc_config.py:446(__enter__)"
"        7","    0.000","    0.000","    0.000","    0.000"," _ufunc_config.py:462(__exit__)"
"        7","    0.000","    0.000","    0.000","    0.000"," _util.py:1064(__getattr__)"
"       13","    0.000","    0.000","    0.000","    0.000"," _util.py:613(__init__)"
"       13","    0.000","    0.000","    0.000","    0.000"," _util.py:641(__enter__)"
"       13","    0.000","    0.000","    0.000","    0.000"," _util.py:656(__exit__)"
"    24/12","    0.000","    0.000","    0.000","    0.000"," _util.py:661(__call__)"
"        1","    0.000","    0.000","    0.000","    0.000"," app.py:226(setup_scene)"
"        2","    0.000","    0.000","    0.000","    0.000"," app.py:318(toggle_collect_points)"
"        1","    0.000","    0.000","    0.000","    0.000"," app.py:401(toggle_camera_stream)"
"        9","    0.000","    0.000","    0.000","    0.000"," app.py:420(update_enabled_states)"
"        1","    0.000","    0.000","    0.000","    0.000"," app.py:75(test)"
"       52","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:1056(<genexpr>)"
"       52","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:1061(<genexpr>)"
"       52","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:1065(<genexpr>)"
"       52","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:1066(<genexpr>)"
"       45","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:1092(__call__)"
"        7","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:1514(dtype_is_implied)"
"        1","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:1556(dtype_short_repr)"
"        7","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:460(_get_formatdict)"
"        7","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:57(_make_options_dict)"
"       45","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:801(_extendLine)"
"       45","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:815(_extendLine_pretty)"
"        7","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:842(_formatArray)"
"     67/7","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:851(recurser)"
"        7","    0.000","    0.000","    0.000","    0.000"," arrayprint.py:966(_none_or_positive_arg)"
"        2","    0.000","    0.000","    0.000","    0.000"," blas.py:270(find_best_blas_type)"
"        2","    0.000","    0.000","    0.000","    0.000"," blas.py:337(_get_funcs)"
"       20","    0.000","    0.000","    0.000","    0.000"," common.py:222(update_tr_radius)"
"        1","    0.000","    0.000","    0.000","    0.000"," common.py:367(in_bounds)"
"        1","    0.000","    0.000","    0.000","    0.000"," common.py:401(find_active_constraints)"
"        1","    0.000","    0.000","    0.000","    0.000"," common.py:440(make_strictly_feasible)"
"        1","    0.000","    0.000","    0.000","    0.000"," common.py:545(print_header_nonlinear)"
"       12","    0.000","    0.000","    0.000","    0.000"," common.py:551(print_iteration_nonlinear)"
"       12","    0.000","    0.000","    0.000","    0.000"," common.py:590(compute_grad)"
"       12","    0.000","    0.000","    0.000","    0.000"," common.py:687(left_multiply)"
"       20","    0.000","    0.000","    0.000","    0.000"," common.py:705(check_termination)"
"       12","    0.000","    0.000","    0.000","    0.000"," common.py:720(scale_for_robust_loss_function)"
"        1","    0.000","    0.000","    0.000","    0.000"," conflict.py:109(ordering)"
"        8","    0.000","    0.000","    0.000","    0.000"," conflict.py:116(<lambda>)"
"        9","    0.000","    0.000","    0.000","    0.000"," conflict.py:120(<genexpr>)"
"       28","    0.000","    0.000","    0.000","    0.000"," conflict.py:39(consistent)"
"       36","    0.000","    0.000","    0.000","    0.000"," conflict.py:50(<genexpr>)"
"       28","    0.000","    0.000","    0.000","    0.000"," conflict.py:71(ambiguous)"
"        1","    0.000","    0.000","    0.000","    0.000"," conflict.py:76(ambiguities)"
"        1","    0.000","    0.000","    0.000","    0.000"," conflict.py:79(<genexpr>)"
"       93","    0.000","    0.000","    0.000","    0.000"," conflict.py:9(supercedes)"
"       64","    0.000","    0.000","    0.000","    0.000"," conflict.py:97(edge)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:104(__init__)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:132(__enter__)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:141(__exit__)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:299(helper)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:475(_create_cb_wrapper)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:477(_exit_wrapper)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:481(__init__)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:530(callback)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:548(_push_exit_callback)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:564(__enter__)"
"        2","    0.000","    0.000","    0.000","    0.000"," contextlib.py:567(__exit__)"
"      794","    0.000","    0.000","    0.000","    0.000"," copy.py:172(_deepcopy_atomic)"
"        1","    0.000","    0.000","    0.000","    0.000"," decoder.py:332(decode)"
"        1","    0.000","    0.000","    0.000","    0.000"," decoder.py:343(raw_decode)"
"        1","    0.000","    0.000","    0.000","    0.000"," dispatcher.py:259(reorder)"
"        2","    0.000","    0.000","    0.000","    0.000"," enum.py:1129(__new__)"
"      117","    0.000","    0.000","    0.000","    0.000"," enum.py:1292(value)"
"        6","    0.000","    0.000","    0.000","    0.000"," enum.py:1544(_get_value)"
"        2","    0.000","    0.000","    0.000","    0.000"," enum.py:1562(__and__)"
"      117","    0.000","    0.000","    0.000","    0.000"," enum.py:202(__get__)"
"        2","    0.000","    0.000","    0.000","    0.000"," enum.py:726(__call__)"
"        2","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:105(_take_dispatcher)"
"        2","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:109(take)"
"       12","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:1125(_argsort_dispatcher)"
"       12","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:1129(argsort)"
"      397","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:1344(_argmin_dispatcher)"
"       27","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:1529(_resize_dispatcher)"
"       27","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:1533(resize)"
"       27","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:1900(_ravel_dispatcher)"
"       27","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:1904(ravel)"
"       27","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:206(_reshape_dispatcher)"
"       27","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:211(reshape)"
"       32","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:2472(_any_dispatcher)"
"       32","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:2477(any)"
"        6","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:3047(_max_dispatcher)"
"        6","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:3052(max)"
"      403","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:3185(_min_dispatcher)"
"      693","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:3323(_prod_dispatcher)"
"        6","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:3562(_size_dispatcher)"
"        6","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:3566(size)"
"        1","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:3730(_mean_dispatcher)"
"        1","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:3735(mean)"
"        1","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:625(_transpose_dispatcher)"
"        1","    0.000","    0.000","    0.000","    0.000"," fromnumeric.py:629(transpose)"
"        9","    0.000","    0.000","    0.000","    0.000"," getlimits.py:494(__new__)"
"        2","    0.000","    0.000","    0.000","    0.000"," helpers.py:110(set_num_objects)"
"        1","    0.000","    0.000","    0.000","    0.000"," helpers.py:249(start_capturing_points)"
"        1","    0.000","    0.000","    0.000","    0.000"," helpers.py:252(stop_capturing_points)"
"        1","    0.000","    0.000","    0.000","    0.000"," helpers.py:261(stop_trangulating_points)"
"        1","    0.000","    0.000","    0.000","    0.000"," helpers.py:361(essential_from_fundamental)"
"        2","    0.000","    0.000","    0.000","    0.000"," index.py:147(capture_points)"
"        1","    0.000","    0.000","    0.000","    0.000"," index.py:21(__init__)"
"        1","    0.000","    0.000","    0.000","    0.000"," index.py:46(enable)"
"        1","    0.000","    0.000","    0.000","    0.000"," index.py:51(mutex)"
"        1","    0.000","    0.000","    0.000","    0.000"," index.py:61(camera_stream)"
"        2","    0.000","    0.000","    0.000","    0.000"," lapack.py:927(get_lapack_funcs)"
"        1","    0.000","    0.000","    0.000","    0.000"," least_squares.py:102(prepare_bounds)"
"        3","    0.000","    0.000","    0.000","    0.000"," least_squares.py:103(<genexpr>)"
"        1","    0.000","    0.000","    0.000","    0.000"," least_squares.py:113(check_tolerance)"
"        3","    0.000","    0.000","    0.000","    0.000"," least_squares.py:114(check)"
"        1","    0.000","    0.000","    0.000","    0.000"," least_squares.py:137(check_x_scale)"
"        1","    0.000","    0.000","    0.000","    0.000"," least_squares.py:167(check_jac_sparsity)"
"       33","    0.000","    0.000","    0.000","    0.000"," least_squares.py:204(cauchy)"
"        1","    0.000","    0.000","    0.000","    0.000"," least_squares.py:226(construct_loss_function)"
"        1","    0.000","    0.000","    0.000","    0.000"," least_squares.py:257(__init__)"
"        1","    0.000","    0.000","    0.000","    0.000"," least_squares.py:922(_dummy_hess)"
"       27","    0.000","    0.000","    0.000","    0.000"," multiarray.py:115(empty_like)"
"        6","    0.000","    0.000","    0.000","    0.000"," numeric.py:1964(isscalar)"
"        3","    0.000","    0.000","    0.000","    0.000"," numeric.py:2231(identity)"
"        1","    0.000","    0.000","    0.000","    0.000"," numeric.py:2369(_isclose_dispatcher)"
"        1","    0.000","    0.000","    0.000","    0.000"," numeric.py:2373(isclose)"
"       24","    0.000","    0.000","    0.000","    0.000"," numeric.py:241(_ones_like_dispatcher)"
"        5","    0.000","    0.000","    0.000","    0.000"," numeric.py:2465(<genexpr>)"
"       24","    0.000","    0.000","    0.000","    0.000"," numeric.py:247(ones_like)"
"       33","    0.000","    0.000","    0.000","    0.000"," numeric.py:2505(_array_equal_dispatcher)"
"       33","    0.000","    0.000","    0.000","    0.000"," numeric.py:2524(array_equal)"
"       60","    0.000","    0.000","    0.000","    0.000"," numeric.py:802(_convolve_dispatcher)"
"       60","    0.000","    0.000","    0.000","    0.000"," numeric.py:806(convolve)"
"        3","    0.000","    0.000","    0.000","    0.000"," numeric.py:92(_zeros_like_dispatcher)"
"        3","    0.000","    0.000","    0.000","    0.000"," numeric.py:98(zeros_like)"
"        6","    0.000","    0.000","    0.000","    0.000"," numerictypes.py:293(issubclass_)"
"      139","    0.000","    0.000","    0.000","    0.000"," numerictypes.py:372(_preprocess_dtype)"
"        3","    0.000","    0.000","    0.000","    0.000"," numerictypes.py:475(issubdtype)"
"        2","    0.000","    0.000","    0.000","    0.000"," platform.py:889(uname)"
"        2","    0.000","    0.000","    0.000","    0.000"," platform.py:978(system)"
"     1202","    0.000","    0.000","    0.000","    0.000"," shape_base.py:17(_atleast_1d_dispatcher)"
"       60","    0.000","    0.000","    0.000","    0.000"," shape_base.py:370(_stack_dispatcher)"
"       60","    0.000","    0.000","    0.000","    0.000"," shape_base.py:380(stack)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1089(__enter__)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1092(__exit__)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1120(__del__)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1233(poll)"
"        4","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1259(wait)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1282(_close_pipe_fds)"
"        4","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1311(_on_error_fd_closer)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1688(_get_handles)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1961(_handle_exitstatus)"
"        4","    0.000","    0.000","    0.000","    0.000"," subprocess.py:1973(_internal_poll)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:2008(_try_wait)"
"        4","    0.000","    0.000","    0.000","    0.000"," subprocess.py:2021(_wait)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:268(_cleanup)"
"        2","    0.000","    0.000","    0.000","    0.000"," subprocess.py:481(__init__)"
"        1","    0.000","    0.000","    0.000","    0.000"," utils.py:33(_toposort)"
"        4","    0.000","    0.000","    0.000","    0.000"," utils.py:51(<genexpr>)"
"        6","    0.000","    0.000","    0.000","    0.000"," utils.py:52(<genexpr>)"
"        9","    0.000","    0.000","    0.000","    0.000"," utils.py:63(<genexpr>)"
"        1","    0.000","    0.000","    0.000","    0.000"," utils.py:68(reverse_dict)"
"        1","    0.000","    0.000","    0.000","    0.000"," utils.py:90(groupby)"
"        6","    0.000","    0.000","    0.000","    0.000"," videoSubSystem.py:67(get_id_from_v4l2)"
"        2","    0.000","    0.000","    0.000","    0.000"," viewer3d.py:123(add_camera)"
"        1","    0.000","    0.000","    0.000","    0.000"," viewer3d.py:323(resizeGL)"
"        3","    0.000","    0.000","    0.000","    0.000"," viewer3d.py:330(mousePressEvent)"
"        3","    0.000","    0.000","    0.000","    0.000"," viewer3d.py:334(mouseReleaseEvent)"
"        1","    0.000","    0.000","    0.000","    0.000"," viewer3d.py:66(create_grid)"
"        2","    0.000","    0.000","    0.000","    0.000"," viewer3d.py:82(camera_helper)"
"        2","    0.000","    0.000","    0.000","    0.000"," {VideoWriter_fourcc}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method _codecs.utf_8_decode}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method _ctypes.dlopen}"
"        5","    0.000","    0.000","    0.000","    0.000"," {built-in method _io.open}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method _sre.compile}"
"        3","    0.000","    0.000","    0.000","    0.000"," {built-in method _thread.allocate_lock}"
"        7","    0.000","    0.000","    0.000","    0.000"," {built-in method _thread.get_ident}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method addAction}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method addMenu}"
"       20","    0.000","    0.000","    0.000","    0.000"," {built-in method addWidget}"
"       84","    0.000","    0.000","    0.000","    0.000"," {built-in method angleDelta}"
"        3","    0.000","    0.000","    0.000","    0.000"," {built-in method builtins.__build_class__}"
"       14","    0.000","    0.000","    0.000","    0.000"," {built-in method builtins.abs}"
"       34","    0.000","    0.000","    0.000","    0.000"," {built-in method builtins.callable}"
"      144","    0.000","    0.000","    0.000","    0.000"," {built-in method builtins.hash}"
"        7","    0.000","    0.000","    0.000","    0.000"," {built-in method builtins.locals}"
"       98","    0.000","    0.000","    0.000","    0.000"," {built-in method builtins.min}"
"       11","    0.000","    0.000","    0.000","    0.000"," {built-in method builtins.ord}"
"        4","    0.000","    0.000","    0.000","    0.000"," {built-in method builtins.setattr}"
"      152","    0.000","    0.000","    0.000","    0.000"," {built-in method buttons}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method fromkeys}"
"        7","    0.000","    0.000","    0.000","    0.000"," {built-in method numpy._core._multiarray_umath._make_extobj}"
"       60","    0.000","    0.000","    0.000","    0.000"," {built-in method numpy._core._multiarray_umath.correlate}"
"       90","    0.000","    0.000","    0.000","    0.000"," {built-in method numpy._core._multiarray_umath.dragon4_positional}"
"        6","    0.000","    0.000","    0.000","    0.000"," {built-in method numpy.arange}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method posix.WIFSTOPPED}"
"        6","    0.000","    0.000","    0.000","    0.000"," {built-in method posix.close}"
"       12","    0.000","    0.000","    0.000","    0.000"," {built-in method posix.fspath}"
"        4","    0.000","    0.000","    0.000","    0.000"," {built-in method posix.pipe}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method posix.read}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method posix.waitpid}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method posix.waitstatus_to_exitcode}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method setAlignment}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method setCentralWidget}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method setColumnMinimumWidth}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method setColumnStretch}"
"       70","    0.000","    0.000","    0.000","    0.000"," {built-in method setEnabled}"
"        6","    0.000","    0.000","    0.000","    0.000"," {built-in method setFixedHeight}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method setInterval}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method setLayout}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method setMaximum}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method setMinimumSize}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method setMinimum}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method setRowStretch}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method setStyleSheet}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method setValue}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method setWindowTitle}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method start}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method sys.audit}"
"        2","    0.000","    0.000","    0.000","    0.000"," {built-in method sys.exc_info}"
"        1","    0.000","    0.000","    0.000","    0.000"," {built-in method sys.exit}"
"       84","    0.000","    0.000","    0.000","    0.000"," {built-in method type}"
"      149","    0.000","    0.000","    0.000","    0.000"," {built-in method x}"
"       84","    0.000","    0.000","    0.000","    0.000"," {built-in method y}"
"        2","    0.000","    0.000","    0.000","    0.000"," {decomposeEssentialMat}"
"        1","    0.000","    0.000","    0.000","    0.000"," {method '__exit__' of '_io._IOBase' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method '__exit__' of '_thread.lock' objects}"
"        9","    0.000","    0.000","    0.000","    0.000"," {method 'add' of 'set' objects}"
"        4","    0.000","    0.000","    0.000","    0.000"," {method 'all' of 'numpy.generic' objects}"
"       18","    0.000","    0.000","    0.000","    0.000"," {method 'any' of 'numpy.generic' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'append' of 'collections.deque' objects}"
"        4","    0.000","    0.000","    0.000","    0.000"," {method 'close' of '_io.BufferedReader' objects}"
"       12","    0.000","    0.000","    0.000","    0.000"," {method 'connect' of 'PyQt5.QtCore.pyqtBoundSignal' objects}"
"        9","    0.000","    0.000","    0.000","    0.000"," {method 'copy' of 'dict' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'count' of 'list' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'decode' of 'bytes' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'detect_framebuffer' of 'mgl.Context' objects}"
"        1","    0.000","    0.000","    0.000","    0.000"," {method 'disable' of '_lsprof.Profiler' objects}"
"        7","    0.000","    0.000","    0.000","    0.000"," {method 'discard' of 'set' objects}"
"      667","    0.000","    0.000","    0.000","    0.000"," {method 'encode' of 'str' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'end' of 're.Match' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'endswith' of 'str' objects}"
"        4","    0.000","    0.000","    0.000","    0.000"," {method 'extend' of 'list' objects}"
"        1","    0.000","    0.000","    0.000","    0.000"," {method 'find' of 'bytearray' objects}"
"        1","    0.000","    0.000","    0.000","    0.000"," {method 'format' of 'str' objects}"
"       21","    0.000","    0.000","    0.000","    0.000"," {method 'get' of '_contextvars.ContextVar' objects}"
"        1","    0.000","    0.000","    0.000","    0.000"," {method 'isalnum' of 'str' objects}"
"        1","    0.000","    0.000","    0.000","    0.000"," {method 'isalpha' of 'str' objects}"
"     1130","    0.000","    0.000","    0.000","    0.000"," {method 'item' of 'numpy.ndarray' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'items' of 'collections.OrderedDict' objects}"
"       20","    0.000","    0.000","    0.000","    0.000"," {method 'lower' of 'str' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'match' of 're.Pattern' objects}"
"       12","    0.000","    0.000","    0.000","    0.000"," {method 'max' of 'numpy.ndarray' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'pop' of 'collections.deque' objects}"
"        5","    0.000","    0.000","    0.000","    0.000"," {method 'pop' of 'dict' objects}"
"        8","    0.000","    0.000","    0.000","    0.000"," {method 'popitem' of 'collections.OrderedDict' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'read' of '_io.TextIOWrapper' objects}"
"        8","    0.000","    0.000","    0.000","    0.000"," {method 'remove' of 'set' objects}"
"        6","    0.000","    0.000","    0.000","    0.000"," {method 'replace' of 'str' objects}"
"        7","    0.000","    0.000","    0.000","    0.000"," {method 'reset' of '_contextvars.ContextVar' objects}"
"        2","    0.000","    0.000","    0.000","    0.000"," {method 'rfind' of 'bytes' objects}"
"        5","    0.000","    0.000","    0.000","    0.000"," {method 'rfind' of 'str' objects}"
